eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude,Source
B040383B,1983,4,3,19,14,5,179.26,52.0,116.0,5.6,0,GCMT_003465
C040483A,1983,4,4,2,51,34,94.81,5.73,85.0,6.5,0,GCMT_003466
B040483E,1983,4,4,13,11,11,-84.04,8.77,33.0,5.1,0,GCMT_003467
B040483B,1983,4,4,19,4,20,159.92,52.92,38.0,6.0,0,GCMT_003468
C040483C,1983,4,4,23,12,47,155.65,49.4,50.0,6.1,0,GCMT_003469
B040483D,1983,4,4,23,58,59,167.27,-15.02,127.0,6.1,0,GCMT_003470
B040583A,1983,4,5,6,50,33,75.29,40.06,33.0,5.4,0,GCMT_003471
B040583B,1983,4,5,15,59,40,-61.63,17.8,33.0,5.2,0,GCMT_003472
B040783A,1983,4,7,15,38,35,-175.08,-22.6,33.0,5.5,0,GCMT_003473
B040783B,1983,4,7,19,29,14,-82.69,8.0,34.0,5.4,0,GCMT_003474
B040783C,1983,4,7,20,46,41,-82.73,8.0,33.0,5.3,0,GCMT_003475
C040883A,1983,4,8,2,28,25,57.51,11.45,10.0,5.8,0,GCMT_003476
B041083B,1983,4,10,1,16,5,-46.59,16.58,10.0,5.2,0,GCMT_003477
B041083C,1983,4,10,2,20,36,-174.57,-17.67,33.0,5.3,0,GCMT_003478
B041083A,1983,4,10,5,51,37,-179.71,-22.13,608.0,5.3,0,GCMT_003479
B041083D,1983,4,10,18,29,35,141.9,30.78,33.0,5.2,0,GCMT_003480
B041183A,1983,4,11,8,18,10,-62.79,10.45,43.0,6.0,0,GCMT_003481
B041183B,1983,4,11,15,34,55,147.78,44.3,98.0,5.7,0,GCMT_003482
B041183C,1983,4,11,17,3,45,-179.38,-35.48,84.0,5.7,0,GCMT_003483
C041283A,1983,4,12,12,7,54,-78.18,-4.89,107.0,6.5,0,GCMT_003484
B041283B,1983,4,12,22,44,49,153.64,-5.15,55.0,5.3,0,GCMT_003485
B041483A,1983,4,14,7,19,31,-91.28,14.24,104.0,5.4,0,GCMT_003486
B041583A,1983,4,15,0,9,36,-175.61,-19.1,249.0,5.7,0,GCMT_003487
B041583B,1983,4,15,4,44,0,154.95,-6.5,33.0,5.9,0,GCMT_003488
B041583C,1983,4,15,10,8,21,-75.7,-6.03,126.0,5.5,0,GCMT_003489
B041583E,1983,4,15,14,21,49,121.96,13.11,39.0,5.2,0,GCMT_003490
B041583D,1983,4,15,14,51,59,160.4,53.36,71.0,5.8,0,GCMT_003491
B041683A,1983,4,16,12,57,45,110.89,-10.19,23.0,5.8,0,GCMT_003492
B041783C,1983,4,17,2,54,43,-26.24,-56.21,47.0,5.3,0,GCMT_003493
B041783D,1983,4,17,5,7,48,-29.33,-59.4,33.0,5.3,0,GCMT_003494
B041783A,1983,4,17,14,6,56,169.18,-20.75,22.0,5.4,0,GCMT_003495
B041783B,1983,4,17,23,16,34,94.34,22.05,100.0,5.1,0,GCMT_003496
B041883B,1983,4,18,5,1,17,-175.74,-19.95,229.0,5.3,0,GCMT_003497
C041883A,1983,4,18,10,58,47,62.06,27.72,37.0,6.5,0,GCMT_003498
B041983A,1983,4,19,9,11,1,144.07,-4.4,142.0,5.2,0,GCMT_003499
B041983B,1983,4,19,19,12,48,-149.96,63.37,113.0,5.1,0,GCMT_003500
B042183A,1983,4,21,10,25,8,125.95,0.86,52.0,5.2,0,GCMT_003501
B042283A,1983,4,22,0,37,40,99.07,14.95,33.0,5.8,0,GCMT_003502
B042283C,1983,4,22,3,21,40,99.08,14.93,33.0,5.2,0,GCMT_003503
B042283B,1983,4,22,7,51,49,126.98,6.15,59.0,5.7,0,GCMT_003504
B042383A,1983,4,23,9,20,13,118.84,-11.35,21.0,5.4,0,GCMT_003505
B042383B,1983,4,23,23,33,58,-117.84,-53.09,10.0,5.0,0,GCMT_003506
B042483A,1983,4,24,3,29,18,-176.01,-23.92,33.0,5.9,0,GCMT_003507
C042483B,1983,4,24,9,8,49,157.65,-8.91,18.0,5.8,0,GCMT_003508
B042583A,1983,4,25,14,0,43,156.93,51.33,97.0,5.2,0,GCMT_003509
B042683A,1983,4,26,11,15,37,168.37,-15.89,33.0,5.6,0,GCMT_003510
B042683B,1983,4,26,15,26,40,122.55,24.63,123.0,5.6,0,GCMT_003511
B042783A,1983,4,27,1,39,20,154.83,-62.48,10.0,5.0,0,GCMT_003512
B042783B,1983,4,27,17,20,35,-174.53,-20.97,21.0,5.5,0,GCMT_003513
B042883A,1983,4,28,21,36,47,-178.06,-30.95,33.0,5.6,0,GCMT_003514
B042983A,1983,4,29,1,2,19,-89.18,13.42,82.0,4.9,0,GCMT_003515
B043083A,1983,4,30,2,51,44,-174.33,-21.3,33.0,5.8,0,GCMT_003516
C043083B,1983,4,30,14,3,49,143.78,41.52,33.0,6.5,0,GCMT_003517
B043083C,1983,4,30,19,4,30,155.74,49.51,46.0,5.3,0,GCMT_003518
B050183A,1983,5,1,18,10,41,153.5,46.36,33.0,6.1,0,GCMT_003519
B050183B,1983,5,1,20,11,58,153.48,46.36,33.0,5.6,0,GCMT_003520
B050283B,1983,5,2,1,24,56,-70.7,-26.64,33.0,5.4,0,GCMT_003521
B050283C,1983,5,2,9,58,13,-178.48,-20.73,596.0,5.7,0,GCMT_003522
B050283D,1983,5,2,21,22,44,153.51,46.32,33.0,5.3,0,GCMT_003523
B050283A,1983,5,2,23,42,37,-120.3,36.24,12.0,6.2,0,GCMT_003524
B050383A,1983,5,3,15,39,39,-178.3,-20.29,594.0,5.5,0,GCMT_003525
B050483A,1983,5,4,14,58,40,179.36,-34.01,56.0,5.4,0,GCMT_003526
B050583A,1983,5,5,4,43,59,179.38,-33.83,97.0,6.0,0,GCMT_003527
B050583B,1983,5,5,7,33,46,-82.6,5.46,10.0,5.5,0,GCMT_003528
B050683B,1983,5,6,4,16,14,146.98,43.06,33.0,5.2,0,GCMT_003529
B050683C,1983,5,6,11,59,41,-174.19,-21.28,33.0,5.3,0,GCMT_003530
B050683A,1983,5,6,18,24,18,121.69,15.44,33.0,5.6,0,GCMT_003531
B050783A,1983,5,7,1,7,22,-70.79,-28.01,51.0,5.4,0,GCMT_003532
B050783B,1983,5,7,7,0,4,-95.22,16.15,53.0,5.1,0,GCMT_003533
B050883B,1983,5,8,14,39,37,-109.41,19.99,10.0,5.2,0,GCMT_003534
B050883A,1983,5,8,15,5,8,-109.34,20.0,10.0,5.3,0,GCMT_003535
B050883C,1983,5,8,16,25,8,-109.35,19.95,10.0,5.2,0,GCMT_003536
B050983A,1983,5,9,10,58,26,-74.84,-40.87,33.0,5.8,0,GCMT_003537
B050983D,1983,5,9,13,45,28,161.28,-61.87,10.0,5.5,0,GCMT_003538
B050983E,1983,5,9,15,6,35,161.14,-61.66,10.0,5.0,0,GCMT_003539
B050983B,1983,5,9,15,53,2,-82.93,8.28,36.0,5.5,0,GCMT_003540
B050983C,1983,5,9,20,9,15,-109.45,19.98,10.0,5.5,0,GCMT_003541
B051083A,1983,5,10,0,15,6,121.59,24.42,33.0,5.7,0,GCMT_003542
B051083D,1983,5,10,10,27,32,123.4,-7.27,600.0,5.1,0,GCMT_003543
C051083B,1983,5,10,11,2,34,150.92,-5.36,104.0,6.0,0,GCMT_003544
C051083C,1983,5,10,18,27,30,152.51,-4.79,60.0,5.9,0,GCMT_003545
B051183A,1983,5,11,0,17,13,128.35,2.3,140.0,5.8,0,GCMT_003546
B051183B,1983,5,11,21,48,15,-173.46,-21.47,33.0,5.9,0,GCMT_003547
B051283B,1983,5,12,2,55,1,-62.89,-58.63,33.0,5.3,0,GCMT_003548
B051283A,1983,5,12,10,51,49,-46.49,17.68,10.0,5.6,0,GCMT_003549
B051383A,1983,5,13,18,9,37,128.09,3.02,142.0,5.5,0,GCMT_003550
B051483A,1983,5,14,23,13,46,20.36,38.49,10.0,5.0,0,GCMT_003551
C051583A,1983,5,15,0,24,0,-175.72,-18.89,36.0,5.8,0,GCMT_003552
B051783B,1983,5,17,11,50,25,154.15,-6.66,65.0,5.3,0,GCMT_003553
B051783C,1983,5,17,20,33,23,168.05,-14.97,37.0,5.4,0,GCMT_003554
B051783A,1983,5,17,23,26,33,150.94,-5.43,118.0,5.6,0,GCMT_003555
B051983A,1983,5,19,19,7,18,-77.12,0.15,23.0,5.7,0,GCMT_003556
B051983B,1983,5,19,23,22,14,-72.96,6.75,163.0,5.1,0,GCMT_003557
B052083A,1983,5,20,17,40,14,-69.42,18.03,40.0,5.2,0,GCMT_003558
B052383A,1983,5,23,0,54,11,-69.15,-19.14,110.0,5.5,0,GCMT_003559
B052383B,1983,5,23,6,54,37,171.29,-13.82,38.0,5.8,0,GCMT_003560
B052383C,1983,5,23,17,55,55,141.92,37.91,55.0,5.3,0,GCMT_003561
B052583A,1983,5,25,13,45,14,-177.88,-18.31,576.0,5.1,0,GCMT_003562
C052683A,1983,5,26,3,0,0,139.15,40.37,33.0,6.8,0,GCMT_003563
B052883A,1983,5,28,11,35,53,48.55,32.58,33.0,5.6,0,GCMT_003564
B052883B,1983,5,28,17,49,36,99.6,-1.81,27.0,5.3,0,GCMT_003565
B052983A,1983,5,29,2,14,22,122.62,4.23,611.0,5.5,0,GCMT_003566
B052983B,1983,5,29,4,45,39,155.37,49.26,33.0,5.8,0,GCMT_003567
B052983F,1983,5,29,6,55,33,-125.44,40.46,10.0,5.1,0,GCMT_003568
B052983C,1983,5,29,20,53,57,143.43,42.72,76.0,5.3,0,GCMT_003569
B052983D,1983,5,29,22,1,49,139.38,40.67,33.0,5.6,0,GCMT_003570
B052983E,1983,5,29,22,7,59,-174.98,-15.58,302.0,5.5,0,GCMT_003571
B053083C,1983,5,30,12,32,40,125.51,1.12,79.0,5.4,0,GCMT_003572
B053083A,1983,5,30,14,47,14,103.23,-4.73,97.0,5.5,0,GCMT_003573
B053083B,1983,5,30,15,54,31,-177.9,52.06,109.0,5.0,0,GCMT_003574
B053183A,1983,5,31,21,5,45,79.73,34.53,47.0,5.0,0,GCMT_003575
B060183A,1983,6,1,1,37,0,120.75,13.76,260.0,5.5,0,GCMT_003576
B060183B,1983,6,1,2,0,0,-174.71,-17.0,228.0,6.1,0,GCMT_003577
B060183C,1983,6,1,10,58,42,-172.8,-15.92,33.0,5.6,0,GCMT_003578
B060183D,1983,6,1,20,9,57,9.59,-53.13,10.1,5.7,0,GCMT_003579
B060283A,1983,6,2,20,12,51,-71.24,-9.58,607.0,5.9,0,GCMT_003580
B060383A,1983,6,3,5,44,33,174.88,-50.43,10.0,5.1,0,GCMT_003581
B060583A,1983,6,5,13,23,34,-172.91,-16.05,33.0,5.1,0,GCMT_003582
B060583B,1983,6,5,13,59,10,-172.8,-16.34,33.0,5.2,0,GCMT_003583
B060583C,1983,6,5,16,26,41,-172.86,-15.92,33.0,5.3,0,GCMT_003584
B060683B,1983,6,6,16,22,31,-66.93,-24.38,157.0,5.3,0,GCMT_003585
B060683A,1983,6,6,21,40,17,150.35,45.37,33.0,5.6,0,GCMT_003586
B060783A,1983,6,7,20,40,26,29.17,-50.74,10.0,5.5,0,GCMT_003587
B060983A,1983,6,9,12,49,4,139.05,40.2,33.0,6.3,0,GCMT_003588
B060983B,1983,6,9,13,4,0,139.03,40.19,33.0,6.3,0,GCMT_003589
B060983C,1983,6,9,18,46,1,-174.16,51.44,20.0,6.2,0,GCMT_003590
B060983D,1983,6,9,20,26,51,122.65,-6.0,50.0,5.5,0,GCMT_003591
B061083A,1983,6,10,2,13,23,122.68,75.51,10.0,5.5,0,GCMT_003592
B061083B,1983,6,10,22,39,7,-176.28,-24.27,33.0,5.7,0,GCMT_003593
B061183A,1983,6,11,3,9,54,-120.47,36.26,2.0,5.4,0,GCMT_003594
B061283B,1983,6,12,7,23,25,96.36,-45.49,10.0,5.0,0,GCMT_003595
B061283A,1983,6,12,10,12,43,127.28,1.53,124.0,5.6,0,GCMT_003596
B061483A,1983,6,14,0,59,28,140.74,-53.57,10.0,5.2,0,GCMT_003597
B061583A,1983,6,15,6,7,55,-173.69,-15.19,40.0,5.5,0,GCMT_003598
B061783A,1983,6,17,11,33,16,-97.44,-36.45,10.0,5.5,0,GCMT_003599
B061783B,1983,6,17,22,2,31,159.65,52.23,33.0,5.6,0,GCMT_003600
B061883A,1983,6,18,19,31,10,156.36,-8.23,9.0,5.5,0,GCMT_003601
B061883B,1983,6,18,22,13,31,138.94,40.18,21.0,5.5,0,GCMT_003602
B062083A,1983,6,20,5,43,38,179.05,-23.53,548.0,5.6,0,GCMT_003603
B062083B,1983,6,20,15,14,35,148.65,44.42,105.0,5.2,0,GCMT_003604
B062083C,1983,6,20,22,41,54,83.57,-42.77,10.0,5.4,0,GCMT_003605
C062183A,1983,6,21,6,25,27,139.14,41.32,13.0,6.6,0,GCMT_003606
B062183B,1983,6,21,14,48,5,122.49,24.25,24.0,5.8,0,GCMT_003607
B062183C,1983,6,21,17,6,52,129.38,29.71,164.0,5.9,0,GCMT_003608
B062383A,1983,6,23,12,5,18,139.6,-51.76,10.0,5.5,0,GCMT_003609
B062483A,1983,6,24,7,18,21,103.38,21.72,18.0,6.1,0,GCMT_003610
C062483B,1983,6,24,9,6,46,122.44,24.2,54.0,6.0,0,GCMT_003611
B062583A,1983,6,25,10,3,17,-178.8,-32.8,46.0,5.6,0,GCMT_003612
B062583D,1983,6,25,14,12,55,123.34,23.09,24.0,5.4,0,GCMT_003613
B062583B,1983,6,25,15,4,9,-177.47,-22.04,274.0,5.5,0,GCMT_003614
B062583C,1983,6,25,19,40,55,122.55,24.0,42.0,5.5,0,GCMT_003615
B062683A,1983,6,26,15,54,19,167.6,-17.87,13.0,5.1,0,GCMT_003616
B062783A,1983,6,27,14,10,4,-179.83,-23.92,532.0,5.4,0,GCMT_003617
B062883A,1983,6,28,3,25,16,-141.27,60.25,15.0,5.9,0,GCMT_003618
B062983A,1983,6,29,3,29,0,-172.89,-15.39,33.0,5.2,0,GCMT_003619
B063083A,1983,6,30,13,39,4,147.85,44.03,47.0,5.6,0,GCMT_003620
B063083B,1983,6,30,17,37,49,128.27,2.53,49.0,5.6,0,GCMT_003621
B070183A,1983,7,1,2,23,11,149.41,44.5,60.0,5.4,0,GCMT_003622
B070183D,1983,7,1,3,16,5,-178.35,-20.75,529.0,5.5,0,GCMT_003623
B070183B,1983,7,1,11,57,22,-25.3,-57.96,40.0,5.6,0,GCMT_003624
B070183C,1983,7,1,22,3,42,141.06,36.9,53.0,5.5,0,GCMT_003625
B070283A,1983,7,2,9,34,5,94.78,5.72,98.0,5.7,0,GCMT_003626
B070383A,1983,7,3,2,49,26,122.42,20.16,211.0,6.1,0,GCMT_003627
B070383B,1983,7,3,6,11,35,154.32,-5.59,405.0,5.4,0,GCMT_003628
C070383C,1983,7,3,17,14,23,-83.64,9.66,33.0,5.7,0,GCMT_003629
B070583A,1983,7,5,5,58,21,-123.45,-55.7,10.0,5.3,0,GCMT_003630
C070583B,1983,7,5,11,11,41,171.02,-22.55,45.0,6.0,0,GCMT_003631
B070583C,1983,7,5,12,1,27,27.23,40.33,10.0,5.5,0,GCMT_003632
B070583D,1983,7,5,16,37,6,-25.63,-57.82,33.0,5.7,0,GCMT_003633
B070683A,1983,7,6,4,54,38,-174.06,-21.46,40.0,5.3,0,GCMT_003634
B070683B,1983,7,6,17,59,55,166.29,-11.59,33.0,5.4,0,GCMT_003635
B070783C,1983,7,7,1,2,55,170.95,-22.67,33.0,5.3,0,GCMT_003636
B070783D,1983,7,7,5,29,45,170.89,-22.65,39.0,5.4,0,GCMT_003637
B070783E,1983,7,7,13,33,54,-177.4,-19.19,377.0,5.1,0,GCMT_003638
C070783A,1983,7,7,16,5,40,170.72,-22.56,41.0,5.4,0,GCMT_003639
B070783B,1983,7,7,20,35,38,27.86,-7.25,10.0,5.7,0,GCMT_003640
B070883B,1983,7,8,10,5,0,-173.38,-21.82,33.0,5.5,0,GCMT_003641
B070983A,1983,7,9,7,40,50,-120.41,36.24,10.0,5.3,0,GCMT_003642
C071183A,1983,7,11,12,56,28,-52.94,-60.9,10.0,6.1,0,GCMT_003643
B071283A,1983,7,12,3,39,27,-108.37,23.89,10.0,5.2,0,GCMT_003644
B071283B,1983,7,12,11,34,18,56.38,27.6,33.0,5.9,0,GCMT_003645
C071283C,1983,7,12,15,10,3,-147.38,61.03,37.0,6.1,0,GCMT_003646
B071483B,1983,7,14,2,54,18,21.91,35.81,25.0,5.2,0,GCMT_003647
B071483A,1983,7,14,19,47,46,126.49,5.53,43.0,4.8,0,GCMT_003648
B071583B,1983,7,15,4,48,52,103.44,21.77,10.0,5.1,0,GCMT_003649
B071583A,1983,7,15,10,45,38,126.54,5.47,47.0,5.6,0,GCMT_003650
B071683B,1983,7,16,2,32,17,126.5,5.52,45.0,5.2,0,GCMT_003651
B071683A,1983,7,16,7,55,24,129.36,-7.19,150.0,5.4,0,GCMT_003652
B071783B,1983,7,17,21,56,16,-178.13,-31.41,49.0,5.6,0,GCMT_003653
B071783A,1983,7,17,23,2,49,-178.13,-22.79,335.0,5.2,0,GCMT_003654
B071883A,1983,7,18,12,52,43,-87.24,12.65,87.0,5.5,0,GCMT_003655
B071983B,1983,7,19,6,9,28,177.65,-19.19,33.0,5.1,0,GCMT_003656
B071983A,1983,7,19,23,49,19,123.89,1.01,299.0,5.5,0,GCMT_003657
B072083A,1983,7,20,22,57,17,127.49,5.95,34.0,5.6,0,GCMT_003658
B072183A,1983,7,21,7,11,33,-68.53,-22.3,127.0,5.5,0,GCMT_003659
B072283A,1983,7,22,2,39,55,-120.4,36.22,7.0,6.0,0,GCMT_003660
B072483A,1983,7,24,0,52,25,-176.41,-27.9,73.0,5.3,0,GCMT_003661
B072483B,1983,7,24,23,7,30,158.39,53.85,181.0,6.1,0,GCMT_003662
B072483C,1983,7,24,23,38,8,119.58,-8.17,33.0,5.8,0,GCMT_003663
B072583A,1983,7,25,22,31,40,-120.39,36.22,8.0,5.6,0,GCMT_003664
B072683A,1983,7,26,2,22,59,-82.5,5.47,10.0,5.3,0,GCMT_003665
B072683B,1983,7,26,11,55,22,35.36,-44.89,10.0,4.9,0,GCMT_003666
B072683C,1983,7,26,17,39,59,-86.28,12.18,114.0,4.8,0,GCMT_003667
B072683D,1983,7,26,20,14,51,120.07,0.68,45.0,5.3,0,GCMT_003668
B072883A,1983,7,28,1,40,33,-176.26,-28.15,31.0,5.6,0,GCMT_003669
B072883B,1983,7,28,15,6,44,142.65,42.01,59.0,5.5,0,GCMT_003670
B072883C,1983,7,28,19,28,24,171.42,-22.34,134.0,5.3,0,GCMT_003671
B072983A,1983,7,29,11,25,27,105.63,-6.75,33.0,5.5,0,GCMT_003672
B072983B,1983,7,29,18,3,59,56.88,10.41,10.0,5.7,0,GCMT_003673
B073183A,1983,7,31,10,26,0,-126.87,-20.14,10.0,6.0,0,GCMT_003674
B080183B,1983,8,1,3,14,54,147.22,16.98,37.0,5.3,0,GCMT_003675
B080183C,1983,8,1,4,33,46,-179.89,-36.19,33.0,5.3,0,GCMT_003676
B080183A,1983,8,1,14,9,23,-75.88,-48.21,33.0,5.4,0,GCMT_003677
B080283A,1983,8,2,2,17,40,122.17,20.46,156.0,6.1,0,GCMT_003678
B080283B,1983,8,2,6,8,8,153.48,45.17,68.0,5.4,0,GCMT_003679
B080283C,1983,8,2,12,43,39,117.4,-7.2,580.0,5.4,0,GCMT_003680
B080283D,1983,8,2,22,7,54,128.45,27.37,49.0,5.4,0,GCMT_003681
B080383A,1983,8,3,3,58,21,28.02,-52.08,10.0,5.5,0,GCMT_003682
B080383B,1983,8,3,18,17,44,167.79,-17.36,49.0,5.4,0,GCMT_003683
B080383C,1983,8,3,22,28,44,7.47,-22.28,10.0,5.2,0,GCMT_003684
B080483A,1983,8,4,13,52,41,-91.28,14.43,87.0,5.1,0,GCMT_003685
B080583A,1983,8,5,0,33,44,159.77,52.97,33.0,5.4,0,GCMT_003686
B080583B,1983,8,5,5,25,43,167.79,-17.28,33.0,5.3,0,GCMT_003687
B080583C,1983,8,5,7,2,38,167.84,-17.24,15.0,5.3,0,GCMT_003688
B080683A,1983,8,6,2,26,49,-93.89,16.13,86.0,5.6,0,GCMT_003689
C080683B,1983,8,6,15,43,52,24.73,40.18,10.0,6.3,0,GCMT_003690
B080683C,1983,8,6,22,37,54,130.13,-6.56,161.0,5.8,0,GCMT_003691
B080883A,1983,8,8,3,47,58,138.91,35.47,33.0,5.8,0,GCMT_003692
B080983A,1983,8,9,18,21,10,132.6,-0.4,33.0,5.2,0,GCMT_003693
B080983B,1983,8,9,22,33,36,110.39,-5.8,655.0,5.2,0,GCMT_003694
B081083A,1983,8,10,20,5,48,-176.02,-23.71,33.0,5.5,0,GCMT_003695
B081183A,1983,8,11,12,3,1,120.95,18.81,39.0,5.5,0,GCMT_003696
B081183B,1983,8,11,22,56,11,127.34,1.84,109.0,5.7,0,GCMT_003697
B081283A,1983,8,12,7,42,12,119.86,14.98,32.0,5.1,0,GCMT_003698
B081283B,1983,8,12,11,14,49,65.82,-17.79,10.0,5.1,0,GCMT_003699
B081383A,1983,8,13,22,28,19,111.24,-8.72,79.0,5.9,0,GCMT_003700
B081483A,1983,8,14,19,56,39,169.47,-63.34,10.0,5.4,0,GCMT_003701
B081583A,1983,8,15,19,44,41,-174.59,-17.1,211.0,5.5,0,GCMT_003702
B081783A,1983,8,17,9,29,48,111.13,-8.78,61.0,5.4,0,GCMT_003703
C081783B,1983,8,17,10,55,52,161.21,55.79,55.0,6.5,0,GCMT_003704
B081783C,1983,8,17,12,17,55,120.9,18.16,30.0,6.2,0,GCMT_003705
B081883A,1983,8,18,8,30,21,-173.02,-18.98,38.0,5.3,0,GCMT_003706
B082083C,1983,8,20,5,46,26,51.79,40.74,48.0,5.1,0,GCMT_003707
B082083A,1983,8,20,6,19,28,117.57,-8.56,134.0,5.5,0,GCMT_003708
B082083D,1983,8,20,8,30,34,-101.54,-36.25,10.0,5.3,0,GCMT_003709
B082083B,1983,8,20,13,8,31,141.81,27.86,35.0,5.8,0,GCMT_003710
B082183A,1983,8,21,8,34,45,126.62,3.71,48.0,5.8,0,GCMT_003711
B082183E,1983,8,21,11,38,15,94.09,-44.41,10.0,5.1,0,GCMT_003712
B082183B,1983,8,21,12,6,48,87.49,3.25,10.0,5.3,0,GCMT_003713
B082183C,1983,8,21,18,58,19,-112.65,-28.78,10.0,5.4,0,GCMT_003714
B082183D,1983,8,21,22,57,31,-177.19,-23.48,169.0,5.5,0,GCMT_003715
B082283A,1983,8,22,5,53,26,166.99,-14.83,112.0,5.5,0,GCMT_003716
B082283B,1983,8,22,23,16,38,146.64,-3.59,29.0,5.4,0,GCMT_003717
B082383B,1983,8,23,12,12,16,95.2,24.57,126.0,5.1,0,GCMT_003718
B082383A,1983,8,23,23,39,41,151.07,-5.91,51.0,5.3,0,GCMT_003719
B082483A,1983,8,24,13,36,30,-124.77,40.31,30.0,5.5,0,GCMT_003720
B082583C,1983,8,25,7,3,8,151.01,-5.95,48.0,5.3,0,GCMT_003721
B082583A,1983,8,25,11,5,30,74.05,39.15,33.0,5.0,0,GCMT_003722
C082583B,1983,8,25,20,23,32,131.43,33.49,121.0,6.1,0,GCMT_003723
B082683A,1983,8,26,12,52,9,23.92,40.51,14.0,4.7,0,GCMT_003724
B082683B,1983,8,26,18,20,32,169.6,-20.68,104.0,5.4,0,GCMT_003725
B082783A,1983,8,27,18,49,50,125.96,8.19,33.0,5.5,0,GCMT_003726
B082883A,1983,8,28,11,30,14,151.54,46.2,75.0,5.5,0,GCMT_003727
B082983A,1983,8,29,5,19,24,148.89,-3.43,33.0,5.2,0,GCMT_003728
B082983B,1983,8,29,8,24,23,-72.95,6.84,159.0,5.1,0,GCMT_003729
B083083A,1983,8,30,8,50,16,-172.08,-16.68,35.0,6.1,0,GCMT_003730
B083083B,1983,8,30,10,39,27,94.72,25.07,63.0,5.6,0,GCMT_003731
B083183A,1983,8,31,8,50,37,-111.84,-29.57,10.0,5.3,0,GCMT_003732
B090183A,1983,9,1,17,59,28,25.89,-52.49,10.0,5.4,0,GCMT_003733
B090183C,1983,9,1,20,1,46,-69.98,-17.58,110.0,5.9,0,GCMT_003734
B090383A,1983,9,3,10,21,24,41.39,-15.39,10.0,5.4,0,GCMT_003735
B090483A,1983,9,4,20,53,0,169.77,-21.01,118.0,5.4,0,GCMT_003736
B090683A,1983,9,6,1,6,1,158.57,-9.31,64.0,5.5,0,GCMT_003737
B090783A,1983,9,7,19,22,4,-147.5,60.98,42.0,6.2,0,GCMT_003738
B090783B,1983,9,7,23,11,57,122.39,24.08,33.0,5.5,0,GCMT_003739
B090883A,1983,9,8,20,36,12,-16.96,0.18,10.0,5.0,0,GCMT_003740
B090983B,1983,9,9,16,30,55,-155.12,19.33,9.0,5.4,0,GCMT_003741
B090983A,1983,9,9,17,1,38,122.37,24.09,33.0,5.3,0,GCMT_003742
B091083A,1983,9,10,1,36,46,124.86,-0.17,63.0,5.3,0,GCMT_003743
B091283A,1983,9,12,15,42,8,71.12,36.53,208.0,6.1,0,GCMT_003744
B091383A,1983,9,13,2,3,26,126.68,7.48,38.0,5.5,0,GCMT_003745
B091383B,1983,9,13,19,30,54,-175.61,-23.99,33.0,5.3,0,GCMT_003746
B091483A,1983,9,14,0,47,4,-73.08,-36.42,37.0,5.4,0,GCMT_003747
B091483B,1983,9,14,8,35,18,-79.24,-3.65,102.0,5.6,0,GCMT_003748
B091483C,1983,9,14,11,25,1,145.81,18.09,162.0,6.0,0,GCMT_003749
B091583A,1983,9,15,10,39,3,-93.23,16.11,122.0,5.7,0,GCMT_003750
B091683A,1983,9,16,4,21,56,122.52,-0.07,287.0,5.3,0,GCMT_003751
B091683B,1983,9,16,8,9,28,-179.92,-23.95,526.0,5.9,0,GCMT_003752
B091683C,1983,9,16,23,10,48,120.69,18.14,33.0,5.6,0,GCMT_003753
B091783D,1983,9,17,0,44,58,-166.89,-63.66,10.0,5.1,0,GCMT_003754
B091783A,1983,9,17,4,40,36,93.17,7.92,54.0,5.4,0,GCMT_003755
B091783B,1983,9,17,5,56,57,95.08,4.72,69.0,5.8,0,GCMT_003756
C091783C,1983,9,17,12,11,42,-177.56,-16.54,33.0,6.1,0,GCMT_003757
B091783E,1983,9,17,22,25,41,-24.83,-55.95,38.0,5.5,0,GCMT_003758
B091883A,1983,9,18,10,46,56,-93.75,16.9,146.0,5.1,0,GCMT_003759
B091883B,1983,9,18,19,44,26,-178.09,-36.41,33.0,5.2,0,GCMT_003760
B092083A,1983,9,20,8,50,59,-68.5,18.16,118.0,5.6,0,GCMT_003761
B092183B,1983,9,21,10,27,56,-69.12,-18.98,112.0,5.3,0,GCMT_003762
C092183A,1983,9,21,19,20,42,122.22,24.12,33.0,6.0,0,GCMT_003763
B092383A,1983,9,23,9,17,55,67.92,-20.43,10.0,5.3,0,GCMT_003764
B092383B,1983,9,23,12,29,23,122.21,24.0,33.0,5.7,0,GCMT_003765
B092383C,1983,9,23,23,44,29,-83.39,8.43,37.0,5.7,0,GCMT_003766
B092483B,1983,9,24,15,51,57,-83.61,-41.85,10.0,5.5,0,GCMT_003767
B092483A,1983,9,24,17,17,56,151.15,-3.79,33.0,5.8,0,GCMT_003768
B092483C,1983,9,24,20,40,23,-12.81,-7.02,10.0,5.1,0,GCMT_003769
B092583A,1983,9,25,18,41,17,-24.42,-1.1,10.0,5.1,0,GCMT_003770
B092683A,1983,9,26,10,58,46,167.48,-15.65,109.0,5.2,0,GCMT_003771
B092783B,1983,9,27,12,57,31,172.33,-63.54,10.0,5.1,0,GCMT_003772
B092783A,1983,9,27,23,59,38,26.96,36.69,159.0,5.5,0,GCMT_003773
B092883A,1983,9,28,7,59,14,132.44,41.21,522.0,5.1,0,GCMT_003774
